Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-10-15T22:32:07.595+00:00,30m 18s,Gold 1,E3: A2,defeat,Ascent,Jett,5,13,17,13,3,4,7.6923076923076925,2551,2725,1.3076923076923077
2021-10-15T22:02:04.669+00:00,24m 30s,Gold 2,E3: A2,defeat,Haven,Killjoy,3,13,13,13,3,8,17.647058823529413,2397,2503,1.0
2021-10-15T21:22:37.065+00:00,32m 21s,Gold 2,E3: A2,defeat,Ascent,Omen,7,13,8,18,7,5,18.421052631578945,1975,3110,0.4444444444444444
2021-10-15T20:39:24.001+00:00,37m 15s,Gold 1,E3: A2,victory,Icebox,Skye,13,7,19,14,9,9,14.285714285714285,3776,2688,1.3571428571428572
2021-10-15T19:11:02.117+00:00,27m 22s,Gold 2,E3: A2,defeat,Fracture,Skye,4,13,5,14,8,4,21.875,1543,2313,0.35714285714285715
2021-09-10T12:12:21.519+00:00,25m 14s,Gold 2,E3: A2,defeat,Haven,Killjoy,6,13,13,14,1,10,25.925925925925924,2542,2243,0.9285714285714286
2021-09-10T11:23:41.152+00:00,40m 07s,Gold 2,E3: A2,defeat,Breeze,Killjoy,11,13,11,21,3,7,17.1875,2128,3916,0.5238095238095238
2021-09-10T10:43:26.273+00:00,29m 22s,Unranked,E3: A2,defeat,Ascent,Sage,5,13,4,13,7,4,18.51851851851852,1256,2680,0.3076923076923077
2021-09-06T10:09:59.041+00:00,25m 06s,Gold 2,E3: A1,defeat,Ascent,Sage,4,13,7,16,1,7,28.000000000000004,1481,2522,0.4375
2021-09-06T09:10:25.714+00:00,42m 47s,Gold 2,E3: A1,victory,Haven,Sage,14,12,14,21,6,11,33.33333333333333,2421,3843,0.6666666666666666
2021-09-06T08:27:54.069+00:00,32m 07s,Gold 2,E3: A1,victory,Ascent,Raze,13,7,9,15,8,7,20.408163265306122,2751,2512,0.6
2021-08-25T12:22:42.665+00:00,44m 33s,Gold 2,E3: A1,defeat,Bind,Killjoy,13,15,28,19,11,13,16.129032258064516,5290,3900,1.4736842105263157
2021-08-25T11:59:48.061+00:00,11m 40s,Gold 2,E3: A1,victory,Split,Killjoy,7,1,12,1,5,5,8.695652173913043,1973,500,12.0
2021-08-25T11:12:26.937+00:00,32m 22s,Gold 2,E3: A1,defeat,Haven,Jett,5,13,13,15,5,3,9.75609756097561,2425,2592,0.8666666666666667
2021-08-25T10:22:42.061+00:00,44m 15s,Gold 2,E3: A1,defeat,Ascent,Killjoy,12,14,25,16,9,16,14.925373134328357,4422,3675,1.5625
2021-08-25T00:30:06.598+00:00,45m 06s,Gold 2,E3: A1,defeat,Breeze,Skye,12,14,27,20,6,17,27.380952380952383,4877,3473,1.35
2021-08-24T23:36:33.638+00:00,36m 36s,Gold 2,E3: A1,victory,Haven,Killjoy,13,11,14,15,4,9,26.0,2537,2700,0.9333333333333333
2021-08-24T23:00:12.292+00:00,29m 47s,Gold 2,E3: A1,victory,Split,Killjoy,13,8,21,12,7,8,16.470588235294116,3569,2219,1.75
2021-08-24T22:30:34.697+00:00,21m 35s,Gold 2,E3: A1,victory,Split,Sage,13,2,21,4,5,16,35.41666666666667,3028,1043,5.25
2021-08-24T21:54:52.549+00:00,33m 52s,Gold 2,E3: A1,victory,Ascent,Killjoy,13,8,17,11,6,9,18.30985915492958,2542,2448,1.5454545454545454
