Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2020-12-18T21:21:06.369+00:00,28m 14s,Gold 1,E1: A3,victory,Split,Reyna,13,4,19,8,3,11,24.444444444444443,2706,1959,2.375
2020-12-18T18:36:22.966+00:00,17m 40s,Silver 3,E1: A3,defeat,Split,Cypher,2,13,5,10,0,1,3.571428571428571,870,1505,0.5
2020-12-16T19:04:54.76+00:00,37m 05s,Silver 3,E1: A3,defeat,Bind,Cypher,8,13,14,12,3,9,22.5,3279,3241,1.1666666666666667
2020-12-11T18:47:38.317+00:00,42m 16s,Silver 2,E1: A3,victory,Icebox,Cypher,14,12,14,16,6,6,10.44776119402985,2664,3338,0.875
2020-12-10T18:40:34.341+00:00,28m 47s,Silver 2,E1: A3,victory,Ascent,Cypher,13,2,9,2,0,7,35.0,2235,1556,4.5
2020-12-09T15:03:18.358+00:00,43m 09s,Silver 2,E1: A3,victory,Split,Cypher,13,11,18,16,5,9,11.363636363636363,4761,4134,1.125
2020-12-09T14:12:03.946+00:00,41m 33s,Silver 1,E1: A3,victory,Icebox,Cypher,13,11,6,17,2,3,14.285714285714285,1172,2704,0.35294117647058826
2020-12-09T13:06:11.413+00:00,33m 40s,Silver 1,E1: A3,defeat,Ascent,Cypher,7,13,6,17,4,1,2.3255813953488373,1404,2478,0.35294117647058826
2020-12-08T09:28:34.855+00:00,33m 40s,Bronze 3,E1: A3,victory,Bind,Cypher,13,7,10,9,0,7,22.58064516129032,1845,1764,1.1111111111111112
2020-11-30T11:51:03.387+00:00,36m 45s,Bronze 3,E1: A3,defeat,Bind,Cypher,8,13,10,13,3,3,9.090909090909092,1780,2299,0.7692307692307693
2020-11-28T11:44:23.891+00:00,28m 14s,Bronze 3,E1: A3,defeat,Split,Cypher,5,13,8,15,1,2,5.263157894736842,1379,2487,0.5333333333333333
2020-11-24T12:21:55.694+00:00,30m 01s,Bronze 1,E1: A3,victory,Bind,Cypher,13,5,20,8,2,10,18.51851851851852,3140,1258,2.5
2020-11-21T13:06:08.659+00:00,33m 19s,Bronze 1,E1: A3,defeat,Bind,Sage,5,13,15,14,4,4,7.894736842105263,3937,3585,1.0714285714285714
2020-11-15T21:02:46.364+00:00,28m 24s,Bronze 1,E1: A3,defeat,Haven,Cypher,4,13,11,11,2,6,13.333333333333334,2453,1596,1.0
2020-11-06T14:11:19.786+00:00,42m 48s,Bronze 1,E1: A3,victory,Ascent,Cypher,13,11,13,14,5,4,8.333333333333332,2410,2445,0.9285714285714286
2020-11-02T13:55:10.005+00:00,37m 02s,Bronze 1,E1: A3,defeat,Ascent,Cypher,8,13,21,14,1,10,13.333333333333334,4106,2658,1.5
2020-10-22T12:48:54.632+00:00,38m 01s,Iron 3,E1: A3,victory,Haven,Cypher,13,9,24,12,6,6,9.333333333333334,3601,2259,2.0
2020-10-17T20:37:45.813+00:00,42m 20s,Bronze 1,E1: A3,defeat,Split,Cypher,12,14,17,14,6,5,7.894736842105263,3243,2559,1.2142857142857142
2020-10-16T18:48:54.318+00:00,39m 38s,Iron 3,E1: A3,victory,Split,Cypher,13,9,18,11,5,5,8.19672131147541,2818,2195,1.6363636363636365
2020-10-13T20:35:20.439+00:00,36m 06s,Iron 3,E1: A2,victory,Ascent,Cypher,13,8,15,12,7,3,6.896551724137931,2556,2162,1.25
