Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-02-02T16:18:23.548+00:00,33m 01s,Gold 2,E2: A1,defeat,Haven,Killjoy,7,13,4,16,4,4,32.0,1232,2388,0.25
2021-02-01T21:12:28.008+00:00,33m 34s,Gold 2,E2: A1,defeat,Split,Jett,9,13,19,19,2,11,17.142857142857142,3542,3246,1.0
2021-02-01T20:26:20.04+00:00,39m 49s,Gold 2,E2: A1,victory,Bind,Omen,13,9,6,17,5,3,15.789473684210526,2320,4070,0.35294117647058826
2021-01-30T16:16:22.481+00:00,35m 04s,Gold 1,E2: A1,victory,Split,Cypher,13,9,13,15,4,6,17.142857142857142,1749,2733,0.8666666666666667
2021-01-28T21:16:00.308+00:00,38m 10s,Gold 1,E2: A1,defeat,Ascent,Omen,10,13,16,19,6,7,14.516129032258066,3004,3156,0.8421052631578947
2021-01-27T22:33:45.991+00:00,40m 05s,Gold 1,E2: A1,defeat,Split,Sage,12,14,16,16,6,9,16.9811320754717,2765,3696,1.0
2021-01-27T21:36:06.604+00:00,33m 18s,Gold 1,E2: A1,victory,Split,Omen,13,6,10,13,4,5,16.216216216216218,1864,2271,0.7692307692307693
2021-01-27T18:09:29.155+00:00,07m 37s,Gold 1,E2: A1,victory,Bind,Omen,13,1,4,1,0,3,37.5,552,354,4.0
2021-01-26T21:15:55.638+00:00,37m 50s,Gold 1,E2: A1,victory,Icebox,Raze,13,9,27,13,8,14,16.3265306122449,4875,2934,2.076923076923077
2021-01-26T20:21:59.716+00:00,40m 49s,Silver 2,E2: A1,victory,Haven,Reyna,13,10,27,16,3,13,20.0,5014,3452,1.6875
2021-01-24T18:56:32.35+00:00,22m 21s,Silver 2,E2: A1,victory,Split,Killjoy,13,2,18,3,0,11,17.56756756756757,2889,534,6.0
2021-01-24T18:20:30.999+00:00,32m 31s,Unranked,E2: A1,defeat,Split,Reyna,6,13,15,18,7,9,16.901408450704224,3438,2864,0.8333333333333334
2021-01-24T16:52:16.691+00:00,20m 08s,Unranked,E2: A1,victory,Icebox,Reyna,13,0,16,5,3,10,23.076923076923077,3116,1055,3.2
2020-12-25T23:45:51.001+00:00,29m 20s,Gold 1,E1: A3,victory,Split,Reyna,13,6,22,14,2,11,20.754716981132077,3310,3030,1.5714285714285714
2020-12-25T23:06:00.304+00:00,31m 09s,Silver 3,E1: A3,victory,Icebox,Jett,13,6,23,14,4,16,34.48275862068966,3950,2687,1.6428571428571428
2020-12-25T20:21:16.242+00:00,32m 17s,Silver 3,E1: A3,victory,Icebox,Killjoy,13,8,12,10,3,9,10.227272727272728,3078,2332,1.2
2020-12-19T20:23:22.883+00:00,38m 54s,Gold 1,E1: A3,defeat,Haven,Reyna,10,13,16,19,5,12,21.12676056338028,3678,3523,0.8421052631578947
2020-12-19T19:37:19.736+00:00,37m 39s,Gold 1,E1: A3,victory,Haven,Jett,13,9,29,15,8,17,20.952380952380953,5336,3394,1.9333333333333333
2020-12-19T18:58:16.819+00:00,30m 15s,Gold 1,E1: A3,defeat,Split,Reyna,4,13,17,14,3,7,15.517241379310345,2801,2436,1.2142857142857142
2020-12-18T21:56:58.069+00:00,26m 17s,Gold 1,E1: A3,victory,Split,Reyna,13,4,24,9,7,15,26.666666666666668,3815,2096,2.6666666666666665
